playlist_name,primary_genre,sub_genres,track_count,last_updated,musinique_focus_score,avg_artist_popularity
EVENING VIBING ☽ ,"['Avant-garde', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Rock']","['acid jazz', 'afro house', 'afrobeats', 'alternative r&b', 'ambient folk', 'classic soul', 'contemporary r&b', 'dancehall', 'downtempo', 'drum and bass', 'east coast hip hop', 'edm', 'french house', 'funk', 'funk rock', 'hip hop', 'horrorcore', 'house', 'indie', 'indie dance', 'indie jazz', 'indie soul', 'italo disco', 'jam band', 'jazz', 'jazz beats', 'jazz funk', 'jazz pop', 'jazz rap', 'jungle', 'liquid funk', 'lo-fi', 'lo-fi beats', 'lo-fi hip hop', 'lo-fi house', 'lovers rock', 'motown', 'neo soul', 'neo-psychedelic', 'northern soul', 'nu disco', 'nz reggae', 'pop soul', 'quiet storm', 'r&b', 'ragga', 'reggae', 'retro soul', 'roots reggae', 'soca', 'soft pop', 'soul', 'soul jazz', 'stutter house', 'trap', 'trap metal', 'trap soul', 'uk r&b', 'vocal jazz']",89,2025-08-26T16:08:09Z,21.7,56.54
SMOOTH R&B SOUL CHRISTMAS,"['Blues', 'Country', 'Electronic', 'Pop', 'R&B & Soul', 'Religious', 'Traditional Folk']","['blues', 'christian r&b', 'christmas', 'classic soul', 'footwork', 'gospel', 'new jack swing', 'quiet storm', 'r&b', 'soft pop', 'soul', 'traditional gospel', 'worship', 'zydeco']",25,2025-12-12T12:14:20Z,34.1,59.793103448275865
1930s & 1940s JAZZ 🚬 ,"['Blues', 'Easy Listening', 'Electronic', 'Jazz', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']","['adult standards', 'bebop', 'big band', 'blues', 'boogie', 'boogie-woogie', 'christmas', 'classic blues', 'cool jazz', 'doo-wop', 'electro swing', 'french jazz', 'jazz', 'jazz ballads', 'ragtime', 'rockabilly', 'roots rock', 'swing music', 'vocal jazz']",37,2022-06-18T17:22:16Z,35.5,53.326530612244895
GENTLE WORSHIP 🕊️ ,"['Electronic', 'Folk', 'Pop', 'R&B & Soul', 'Religious']","['afrogospel', 'alternative r&b', 'ambient', 'catholic music', 'ccm', 'cedm', 'christian', 'christian alternative rock', 'christian folk', 'christian jazz', 'christian lo-fi', 'christian pop', 'christian r&b', 'country christian', 'gospel', 'hymns', 'neo soul', 'pop worship', 'space music', 'uk r&b', 'worship']",156,2025-12-13T21:50:12Z,41.8,48.783861671469744
90s DANCE ANTHEMS  (CLUB CLASSICS) 🔊,"['Electronic', 'Folk', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional', 'Rock']","['acid house', 'ballroom vogue', 'big beat', 'celtic', 'chicago house', 'dance', 'disco', 'disco house', 'electro', 'electronic', 'eurodance', 'europop', 'french house', 'funk', 'funky house', 'future house', 'hip house', 'house', 'italo dance', 'melodic house', 'melodic techno', 'new jack swing', 'nu disco', 'post-disco', 'progressive house', 'rock', 'tech house', 'trance', 'tribal house', 'trip hop', 'uk funky', 'uk garage']",54,2025-11-30T21:42:37Z,23.7,55.642857142857146
SPIRITUAL RHYTHMS 🍂,"['Avant-garde', 'Classical', 'Easy Listening', 'Electronic', 'Folk', 'Hip Hop', 'Pop', 'Regional', 'Religious', 'Rock']","['afropop', 'catholic music', 'ccm', 'celtic', 'celtic rock', 'choral', 'christian', 'christian folk', 'christian jazz', 'christian lo-fi', 'christian r&b', 'classical crossover', 'darkwave', 'downtempo', 'dream pop', 'folk', 'folk rock', 'gothic rock', 'gregorian chant', 'house', 'hymns', 'indie folk', 'jazz house', 'lo-fi', 'native american music', 'new age', 'pop worship', 'progressive rock', 'progressive trance', 'score', 'soundtrack', 'tango', 'trance', 'trip hop', 'worship']",65,2025-10-03T11:10:18Z,25.7,47.79611650485437
COSY (Rainy Days) 🧦,"['Avant-garde', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock']","['acoustic pop', 'ambient folk', 'bedroom pop', 'christian', 'christian alternative rock', 'christian folk', 'christian jazz', 'christian lo-fi', 'dansk pop', 'folk', 'folk pop', 'folk rock', 'indie folk', 'jam band', 'jazz', 'lo-fi', 'lo-fi beats', 'lo-fi hip hop', 'moombahton', 'norwegian pop', 'pop singer-songwriter', 'retro soul', 'singer-songwriter', 'soft pop', 'tropical house', 'uk r&b', 'worship']",102,2024-09-24T10:20:22Z,25.1,53.935064935064936
FUN BACKGROUND POP 🚲,"['Electronic', 'Folk', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock']","['3 step', 'afro house', 'afro soul', 'afro tech', 'afropop', 'amapiano', 'anti-folk', 'aor', 'christian', 'christian alternative rock', 'christian folk', 'christian hip hop', 'christian jazz', 'christian lo-fi', 'christian pop', 'christian r&b', 'dansk pop', 'dream pop', 'folk pop', 'indie', 'indie folk', 'indie rock', 'indie soul', 'pop soul', 'private school piano', 'retro soul', 'soul', 'stutter house', 'surf rock', 'synthpop', 'worship', 'yacht rock']",80,2025-09-22T15:08:09Z,31.5,57.33620689655172
PIZZA NIGHT (Little Italy Swing)🗽,"['Easy Listening', 'Folk', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']","['adult standards', 'art pop', 'big band', 'christmas', 'cool jazz', 'doo-wop', 'easy listening', 'exotica', 'italian singer-songwriter', 'italo dance', 'jazz', 'jazz ballads', 'pop', 'rock and roll', 'rockabilly', 'singer-songwriter', 'swing music', 'vocal jazz']",43,2021-01-06T17:00:58Z,31.2,68.88524590163935
GIRLS' ROADTRIP 🚗 ,"['Classical', 'Country', 'Electronic', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional', 'Rock']","['alternative rock', 'aor', 'baroque pop', 'britpop', 'classic country', 'classic rock', 'classic soul', 'country', 'disco', 'funk', 'glam rock', 'hi-nrg', 'hip hop', 'indie', 'indie rock', 'madchester', 'motown', 'musicals', 'northern soul', 'philly soul', 'pop rock', 'power pop', 'quiet storm', 'rock', 'soft pop', 'soft rock', 'soul', 'southern hip hop', 'yacht rock']",72,2022-07-22T07:43:00Z,26.6,71.85401459854015
FLEETWOOD MAC FAVOURITES 🪶,['Rock'],"['classic rock', 'soft rock', 'yacht rock']",29,2024-11-03T15:51:53Z,79.6,82.02439024390245
FRENCH WORSHIP / L'ADORATION EN FRANÇAIS,"['Hip Hop', 'Pop', 'Religious']","['christian', 'christian jazz', 'christian pop', 'hymns', 'rap chrétien']",38,2022-11-04T12:20:38Z,47.6,33.54
COSY CHRISTMAS JAZZ 🎁,"['Easy Listening', 'Jazz', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']","['adult standards', 'big band', 'christmas', 'classic soul', 'cool jazz', 'doo-wop', 'jazz', 'jazz ballads', 'motown', 'smooth jazz', 'soft rock', 'soul', 'swing music', 'vocal jazz']",33,2023-12-21T09:15:43Z,33.2,68.86666666666666
SUMMER CHILL (SUMMER BBQ EVENING VIBES) ☀,"['Avant-garde', 'Country', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Rock']","['3 step', 'acoustic pop', 'afro house', 'afro soul', 'afro tech', 'afrobeat', 'afrobeats', 'afropiano', 'afropop', 'alté', 'amapiano', 'art rock', 'azonto', 'bassline', 'big beat', 'chillstep', 'chillwave', 'country', 'dancehall', 'deep house', 'drum and bass', 'dub', 'dubstep', 'edm', 'folk pop', 'french house', 'french indie pop', 'french r&b', 'french rap', 'ghanaian hip hop', 'glam rock', 'gqom', 'hiplife', 'house', 'indie folk', 'indie jazz', 'indie soul', 'jazz beats', 'jazz house', 'jazz rap', 'jungle', 'latin house', 'lo-fi', 'lo-fi beats', 'lo-fi hip hop', 'lo-fi house', 'melodic house', 'moombahton', 'neo soul', 'neo-psychedelic', 'nu disco', 'nz reggae', 'pop country', 'pop urbaine', 'private school piano', 'progressive house', 'r&b', 'ragga', 'reggae', 'reggae rock', 'riddim', 'roots reggae', 'soft pop', 'techengue', 'trap', 'tribal house', 'trip hop', 'tropical house', 'vaporwave', 'yacht rock']",91,2025-08-16T08:20:01Z,20.1,54.288770053475936
SUNDAY BRUNCH 🥞 ,"['Blues', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'Punk', 'R&B & Soul', 'Regional', 'Religious', 'Rock']","['acoustic pop', 'baroque pop', 'bedroom pop', 'blues', 'britpop', 'ccm', 'christian', 'christian hip hop', 'christian lo-fi', 'christian pop', 'christian r&b', 'classic rock', 'classic soul', 'disco', 'disco house', 'doo-wop', 'dream pop', 'folk pop', 'folk rock', 'french house', 'funk', 'indie', 'indie folk', 'indie rock', 'jam band', 'jangle pop', 'jazz', 'jazz pop', 'motown', 'new wave', 'northern soul', 'nu disco', 'philly soul', 'pop', 'pop soul', 'power pop', 'psychedelic rock', 'punk', 'quiet storm', 'reggae', 'roots reggae', 'singer-songwriter', 'soft pop', 'soft rock', 'soul', 'soul jazz', 'surf rock', 'uk r&b', 'vocal jazz', 'worship', 'yacht rock']",97,2025-10-06T07:47:22Z,22.3,63.9
VIBEY CHILLED BEATS (For Working)✌️,"['Avant-garde', 'Classical', 'Easy Listening', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock']","['3 step', 'afro house', 'afro soul', 'afro tech', 'afropiano', 'afropop', 'alternative r&b', 'amapiano', 'ambient', 'bedroom pop', 'big room', 'ccm', 'chillstep', 'chillwave', 'christian', 'christian alternative rock', 'christian folk', 'christian jazz', 'christian lo-fi', 'christian r&b', 'classical', 'classical crossover', 'deep house', 'downtempo', 'drum and bass', 'electroacoustic', 'folk pop', 'french indie pop', 'gqom', 'house', 'idm', 'indie dance', 'indie folk', 'indie pop', 'indie soul', 'italo disco', 'jazz beats', 'jazz house', 'jazz rap', 'jungle', 'liquid funk', 'lo-fi', 'lo-fi beats', 'lo-fi hip hop', 'lo-fi house', 'lo-fi indie', 'lounge', 'melodic house', 'neo soul', 'neo-psychedelic', 'neoclassical', 'nu disco', 'nu jazz', 'orchestral', 'organic house', 'pop worship', 'private school piano', 'progressive house', 'progressive trance', 'retro soul', 'stutter house', 'trance', 'trip hop', 'tropical house', 'uk funky', 'uk r&b', 'worship']",202,2025-06-18T15:57:13Z,26.1,46.660714285714285
